"6","A","2005-10-09","6389"
"6","C","2005-10-09","9501"
"6","O","2005-10-09","14419"
"6","A","2005-10-16","6790"
"6","C","2005-10-16","10685"
"6","O","2005-10-16","15088"
"6","A","2005-10-23","6768"
"6","C","2005-10-23","10384"
"6","O","2005-10-23","13968"
"6","A","2005-10-30","7617"
"6","C","2005-10-30","11165"
"6","O","2005-10-30","15277"
"6","A","2005-11-06","7798"
"6","C","2005-11-06","11243"
"6","O","2005-11-06","15360"
"6","A","2005-11-13","7628"
"6","C","2005-11-13","11212"
"6","O","2005-11-13","15241"
"6","A","2005-11-20","5654"
"6","C","2005-11-20","7868"
"6","O","2005-11-20","11996"
"6","A","2005-11-27","9020"
"6","C","2005-11-27","11615"
"6","O","2005-11-27","15833"
"6","A","2005-12-04","9010"
"6","C","2005-12-04","12660"
"6","O","2005-12-04","16240"
"6","A","2005-12-11","10972"
"6","C","2005-12-11","16306"
"6","O","2005-12-11","18037"
"6","A","2005-12-18","12850"
"6","C","2005-12-18","15313"
"6","O","2005-12-18","20022"
"6","A","2005-12-25","13029"
"6","C","2005-12-25","9555"
"6","O","2005-12-25","19566"
"6","A","2006-01-01","13571"
"6","C","2006-01-01","11062"
"6","O","2006-01-01","19095"
"6","A","2006-01-08","12447"
"6","C","2006-01-08","15096"
"6","O","2006-01-08","19315"
"6","A","2006-01-15","11632"
"6","C","2006-01-15","16579"
"6","O","2006-01-15","19316"
"6","A","2006-01-22","12759"
"6","C","2006-01-22","20381"
"6","O","2006-01-22","20797"
"6","A","2006-01-29","14078"
"6","C","2006-01-29","24072"
"6","O","2006-01-29","22674"
"6","A","2006-02-05","15043"
"6","C","2006-02-05","25565"
"6","O","2006-02-05","24037"
"6","A","2006-02-12","17896"
"6","C","2006-02-12","28218"
"6","O","2006-02-12","24899"
"6","A","2006-02-19","19342"
"6","C","2006-02-19","27920"
"6","O","2006-02-19","25872"
"6","A","2006-02-26","19529"
"6","C","2006-02-26","29990"
"6","O","2006-02-26","26898"
"6","A","2006-03-05","18350"
"6","C","2006-03-05","29656"
"6","O","2006-03-05","26474"
"6","A","2006-03-12","14877"
"6","C","2006-03-12","25354"
"6","O","2006-03-12","23308"
"6","A","2006-03-19","12987"
"6","C","2006-03-19","23646"
"6","O","2006-03-19","20470"
"6","A","2006-03-26","11788"
"6","C","2006-03-26","23003"
"6","O","2006-03-26","19792"
"6","A","2006-04-02","9580"
"6","C","2006-04-02","18984"
"6","O","2006-04-02","18363"
"6","A","2006-04-09","7585"
"6","C","2006-04-09","14032"
"6","O","2006-04-09","15852"
"6","A","2006-04-16","6712"
"6","C","2006-04-16","11011"
"6","O","2006-04-16","14396"
"6","A","2006-04-23","5965"
"6","C","2006-04-23","10688"
"6","O","2006-04-23","13131"
"6","A","2006-04-30","5703"
"6","C","2006-04-30","10234"
"6","O","2006-04-30","13200"
"6","A","2006-05-07","5653"
"6","C","2006-05-07","10351"
"6","O","2006-05-07","13163"
"6","A","2006-05-14","5517"
"6","C","2006-05-14","10301"
"6","O","2006-05-14","13198"
"6","A","2006-05-21","5363"
"6","C","2006-05-21","9402"
"6","O","2006-05-21","13547"
